version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Delta
original,1,0,1000,50,10,5,70.29793200000006
original,2,0,1000,50,10,5,7.373711999999955
original,4,0,1000,50,10,5,161.38742
original,6,0,1000,50,10,5,76.58235600000003
original,8,0,1000,50,10,5,121.00051600000006
original,10,0,1000,50,10,5,64.76930000000007
original,12,0,1000,50,10,5,12.755007999999862
original,14,0,1000,50,10,5,47.077635999999984
original,16,0,1000,50,10,5,39.055803999999824
original,18,0,1000,50,10,5,21.81646000000015
original,20,0,1000,50,10,5,46.85243200000002
original,22,0,1000,50,10,5,56.639988000000045
original,24,0,1000,50,10,5,62.948083999999824
original,26,0,1000,50,10,5,143.57323199999996
original,28,0,1000,50,10,5,6.4107840000000635
original,30,0,1000,50,10,5,43.79685999999987
original,32,0,1000,50,10,5,42.61199600000006
original,34,0,1000,50,10,5,53.75597200000007
original,36,0,1000,50,10,5,71.23495199999988
original,38,0,1000,50,10,5,99.49526800000012
original,40,0,1000,50,10,5,32.32975600000009
original,42,0,1000,50,10,5,52.70793600000022
original,44,0,1000,50,10,5,18.083451999999994
original,46,0,1000,50,10,5,22.91009599999998
original,48,0,1000,50,10,5,13.046771999999862
original,50,0,1000,50,10,5,13.173688000000084
original,52,0,1000,50,10,5,30.413184000000115
original,54,0,1000,50,10,5,40.81247199999993
original,56,0,1000,50,10,5,21.85760400000018
original,58,0,1000,50,10,5,120.95431200000002
original,60,0,1000,50,10,5,68.33701199999993
original,62,0,1000,50,10,5,11.40403999999998
original,64,0,1000,50,10,5,12.33783199999985
original,1,0,1000,50,10,5,55.49912000000015
original,2,0,1000,50,10,5,18.641535999999945
original,4,0,1000,50,10,5,92.721816
original,6,0,1000,50,10,5,45.45868400000015
original,8,0,1000,50,10,5,83.51381199999989
original,10,0,1000,50,10,5,1.5585720000000833
original,12,0,1000,50,10,5,15.189807999999857
original,14,0,1000,50,10,5,80.53851600000013
original,16,0,1000,50,10,5,54.457548000000116
original,18,0,1000,50,10,5,50.19338799999983
original,20,0,1000,50,10,5,112.80767600000001
original,22,0,1000,50,10,5,70.3897999999999
original,24,0,1000,50,10,5,38.20252399999998
original,26,0,1000,50,10,5,9.418476000000084
original,28,0,1000,50,10,5,72.37567200000012
original,30,0,1000,50,10,5,79.66608800000009
original,32,0,1000,50,10,5,52.23043199999998
original,34,0,1000,50,10,5,29.715603999999814
original,36,0,1000,50,10,5,62.618363999999985
original,38,0,1000,50,10,5,21.032736
original,40,0,1000,50,10,5,4.042720000000003
original,42,0,1000,50,10,5,12.08022000000014
original,44,0,1000,50,10,5,36.98953599999979
original,46,0,1000,50,10,5,39.988084000000015
original,48,0,1000,50,10,5,51.41267600000006
original,50,0,1000,50,10,5,122.89013200000002
original,52,0,1000,50,10,5,109.27170799999992
original,54,0,1000,50,10,5,3.1301639999999793
original,56,0,1000,50,10,5,10.797987999999833
original,58,0,1000,50,10,5,34.212984000000006
original,60,0,1000,50,10,5,50.979059999999805
original,62,0,1000,50,10,5,40.31336400000001
original,64,0,1000,50,10,5,24.666144000000173
original,1,0,1000,50,10,5,6.7111960000002
original,2,0,1000,50,10,5,26.414467999999886
original,4,0,1000,50,10,5,19.595084000000128
original,6,0,1000,50,10,5,12.578924000000058
original,8,0,1000,50,10,5,50.12317600000003
original,10,0,1000,50,10,5,27.236635999999976
