version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Delta
original,1,0,1000,50,10,5,8.152447999999936
original,2,0,1000,50,10,5,5.206152000000145
original,4,0,1000,50,10,5,38.59704799999997
original,6,0,1000,50,10,5,3.2318480000000136
original,8,0,1000,50,10,5,7.715020000000436
original,10,0,1000,50,10,5,14.375012000000169
original,12,0,1000,50,10,5,4.485836000000319
original,14,0,1000,50,10,5,89.92666799999989
original,16,0,1000,50,10,5,37.15697999999995
original,18,0,1000,50,10,5,20.06953999999979
original,20,0,1000,50,10,5,91.85990800000033
original,22,0,1000,50,10,5,4.331047999999782
original,24,0,1000,50,10,5,9.681303999999983
original,26,0,1000,50,10,5,15.920532000000122
original,28,0,1000,50,10,5,23.402644000000095
original,30,0,1000,50,10,5,4.638155999999896
original,32,0,1000,50,10,5,9.189368000000258
original,34,0,1000,50,10,5,119.06784400000004
original,36,0,1000,50,10,5,29.541083999999756
original,38,0,1000,50,10,5,27.6675120000001
original,40,0,1000,50,10,5,0.11914400000020464
original,42,0,1000,50,10,5,54.26274400000014
original,44,0,1000,50,10,5,13.530359999999973
original,46,0,1000,50,10,5,47.49227999999974
original,48,0,1000,50,10,5,18.207848000000126
original,50,0,1000,50,10,5,41.37397200000015
original,52,0,1000,50,10,5,71.25787600000007
original,54,0,1000,50,10,5,94.74341199999984
original,56,0,1000,50,10,5,69.63328000000018
original,58,0,1000,50,10,5,20.954312000000016
original,60,0,1000,50,10,5,130.57469599999993
original,62,0,1000,50,10,5,10.215592000000157
original,64,0,1000,50,10,5,74.31247599999992
original,1,0,1000,50,10,5,23.426160000000152
original,2,0,1000,50,10,5,3.177344000000204
original,4,0,1000,50,10,5,80.82508799999991
original,6,0,1000,50,10,5,0.8852080000002331
original,8,0,1000,50,10,5,108.28338400000015
original,10,0,1000,50,10,5,98.44142799999992
original,12,0,1000,50,10,5,19.30741200000017
original,14,0,1000,50,10,5,63.97124400000001
original,16,0,1000,50,10,5,95.24768400000005
original,18,0,1000,50,10,5,105.91518800000003
original,20,0,1000,50,10,5,4.790115999999841
original,22,0,1000,50,10,5,1.746240000000057
original,24,0,1000,50,10,5,3.1070039999998755
original,26,0,1000,50,10,5,41.5616959999999
original,28,0,1000,50,10,5,132.28650000000013
original,30,0,1000,50,10,5,32.02087200000008
original,32,0,1000,50,10,5,32.77880800000011
original,34,0,1000,50,10,5,11.285640000000171
original,36,0,1000,50,10,5,59.08997599999998
original,38,0,1000,50,10,5,45.09782400000006
original,40,0,1000,50,10,5,25.456620000000186
original,42,0,1000,50,10,5,44.03770399999962
original,44,0,1000,50,10,5,16.886848000000015
original,46,0,1000,50,10,5,15.45144800000017
original,48,0,1000,50,10,5,5.241319999999831
original,50,0,1000,50,10,5,21.999892000000358
original,52,0,1000,50,10,5,83.77630399999981
original,54,0,1000,50,10,5,114.45164400000007
