Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
1;0,135;A AC;18.01.22 8:49:12,1;0:00:00,8;18.01.22 8:49:12,8;0,1697;A AC;0,125925;A AC;18.01.22 8:49:12,6;0,1135;A AC;Unstable;18.01.22 8:49:12,9
2;0,1887;A AC;18.01.22 8:49:12,9;0:00:01,2;18.01.22 8:49:13,4;0,2029;A AC;0,195183333333333;A AC;18.01.22 8:49:14,0;0,1875;A AC;Stable;18.01.22 8:49:14,1
3;0,2107;A AC;18.01.22 8:49:14,1;0:00:00,6;18.01.22 8:49:14,1;0,2107;A AC;0,165366666666667;A AC;18.01.22 8:49:14,6;0,1203;A AC;Unstable;18.01.22 8:49:14,7
4;0,1169;A AC;18.01.22 8:49:14,7;0:00:00,6;18.01.22 8:49:14,7;0,1169;A AC;0,114533333333333;A AC;18.01.22 8:49:15,2;0,1134;A AC;Interval;18.01.22 8:49:15,3
5;0,1136;A AC;18.01.22 8:49:15,3;0:00:00,8;18.01.22 8:49:15,9;0,1786;A AC;0,1350625;A AC;18.01.22 8:49:15,5;0,1135;A AC;Unstable;18.01.22 8:49:16,1
6;0,1369;A AC;18.01.22 8:49:16,1;0:00:04,2;18.01.22 8:49:16,1;0,1369;A AC;0,114338095238095;A AC;18.01.22 8:49:19,3;0,1128;A AC;Interval;18.01.22 8:49:20,4
7;0,1127;A AC;18.01.22 8:49:20,4;0:00:05,0;18.01.22 8:49:22,8;0,1293;A AC;0,114044;A AC;18.01.22 8:49:20,4;0,1127;A AC;Interval;18.01.22 8:49:25,4
8;0,1127;A AC;18.01.22 8:49:25,4;0:00:04,9;18.01.22 8:49:26,9;0,1147;A AC;0,112944897959184;A AC;18.01.22 8:49:25,5;0,1125;A AC;Interval;18.01.22 8:49:30,3
9;0,1128;A AC;18.01.22 8:49:30,3;0:00:05,0;18.01.22 8:49:31,8;0,1215;A AC;0,113122;A AC;18.01.22 8:49:35,0;0,1123;A AC;Interval;18.01.22 8:49:35,3
10;0,1128;A AC;18.01.22 8:49:35,3;0:00:05,0;18.01.22 8:49:35,6;0,114;A AC;0,112824;A AC;18.01.22 8:49:39,0;0,1126;A AC;Interval;18.01.22 8:49:40,4
11;0,1127;A AC;18.01.22 8:49:40,4;0:00:04,9;18.01.22 8:49:40,4;0,1127;A AC;0,112661224489796;A AC;18.01.22 8:49:45,2;0,1125;A AC;Interval;18.01.22 8:49:45,3
12;0,1125;A AC;18.01.22 8:49:45,3;0:00:04,5;18.01.22 8:49:49,7;0,1162;A AC;0,112617777777778;A AC;18.01.22 8:49:45,3;0,1125;A AC;Stable;18.01.22 8:49:49,8
13;0,1472;A AC;18.01.22 8:49:49,8;0:00:00,1;18.01.22 8:49:49,8;0,1472;A AC;0,1472;A AC;18.01.22 8:49:49,8;0,1472;A AC;Unstable;18.01.22 8:49:49,9
14;0,1288;A AC;18.01.22 8:49:49,9;0:00:00,4;18.01.22 8:49:49,9;0,1288;A AC;0,119675;A AC;18.01.22 8:49:50,2;0,1141;A AC;Interval;18.01.22 8:49:50,3
15;0,1132;A AC;18.01.22 8:49:50,3;0:00:05,0;18.01.22 8:49:52,5;0,1149;A AC;0,112898;A AC;18.01.22 8:49:52,0;0,1124;A AC;Interval;18.01.22 8:49:55,4
16;0,113;A AC;18.01.22 8:49:55,4;0:00:05,0;18.01.22 8:49:56,2;0,1205;A AC;0,113452;A AC;18.01.22 8:50:00,2;0,112;A AC;Interval;18.01.22 8:50:00,4
