Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
1;0,1124;A AC;19.01.22 7:59:17,3;0:00:03,0;19.01.22 7:59:19,5;0,2038;A AC;0,15495;A AC;19.01.22 7:59:17,8;0,1123;A AC;Unstable;19.01.22 7:59:20,3
2;0,1858;A AC;19.01.22 7:59:20,3;0:00:00,2;19.01.22 7:59:20,4;0,1923;A AC;0,18905;A AC;19.01.22 7:59:20,3;0,1858;A AC;Interval;19.01.22 7:59:20,5
3;0,2146;A AC;19.01.22 7:59:20,5;0:00:01,8;19.01.22 7:59:20,5;0,2146;A AC;0,135855555555556;A AC;19.01.22 7:59:21,5;0,1123;A AC;Unstable;19.01.22 7:59:22,3
4;0,1275;A AC;19.01.22 7:59:22,3;0:00:03,2;19.01.22 7:59:22,3;0,1275;A AC;0,113578125;A AC;19.01.22 7:59:25,1;0,1121;A AC;Interval;19.01.22 7:59:25,5
5;0,1127;A AC;19.01.22 7:59:25,5;0:00:04,9;19.01.22 7:59:28,4;0,1235;A AC;0,11320612244898;A AC;19.01.22 7:59:30,2;0,1121;A AC;Interval;19.01.22 7:59:30,5
6;0,1126;A AC;19.01.22 7:59:30,5;0:00:05,0;19.01.22 7:59:30,9;0,118;A AC;0,112838;A AC;19.01.22 7:59:30,8;0,1121;A AC;Interval;19.01.22 7:59:35,5
7;0,1126;A AC;19.01.22 7:59:35,5;0:00:05,0;19.01.22 7:59:35,9;0,1128;A AC;0,112716;A AC;19.01.22 7:59:40,0;0,1125;A AC;Interval;19.01.22 7:59:40,5
8;0,1125;A AC;19.01.22 7:59:40,5;0:00:04,9;19.01.22 7:59:40,9;0,1264;A AC;0,112865306122449;A AC;19.01.22 7:59:43,2;0,1119;A AC;Interval;19.01.22 7:59:45,4
9;0,1125;A AC;19.01.22 7:59:45,4;0:00:05,0;19.01.22 7:59:45,4;0,1125;A AC;0,112358;A AC;19.01.22 7:59:48,2;0,1121;A AC;Interval;19.01.22 7:59:50,5
10;0,1124;A AC;19.01.22 7:59:50,5;0:00:04,4;19.01.22 7:59:51,1;0,1125;A AC;0,112409090909091;A AC;19.01.22 7:59:52,8;0,1123;A AC;Stable;19.01.22 7:59:54,9
11;0,1401;A AC;19.01.22 7:59:54,9;0:00:00,3;19.01.22 7:59:55,0;0,1417;A AC;0,1355;A AC;19.01.22 7:59:55,1;0,1247;A AC;Unstable;19.01.22 7:59:55,2
12;0,1179;A AC;19.01.22 7:59:55,2;0:00:00,3;19.01.22 7:59:55,2;0,1179;A AC;0,115233333333333;A AC;19.01.22 7:59:55,4;0,1131;A AC;Interval;19.01.22 7:59:55,5
13;0,1124;A AC;19.01.22 7:59:55,5;0:00:04,9;19.01.22 7:59:59,1;0,1158;A AC;0,1126;A AC;19.01.22 7:59:56,3;0,1118;A AC;Interval;19.01.22 8:00:00,4
14;0,1123;A AC;19.01.22 8:00:00,4;0:00:05,0;19.01.22 8:00:00,8;0,1153;A AC;0,112848;A AC;19.01.22 8:00:00,4;0,1123;A AC;Interval;19.01.22 8:00:05,5
15;0,1127;A AC;19.01.22 8:00:05,5;0:00:05,0;19.01.22 8:00:08,9;0,1202;A AC;0,112952;A AC;19.01.22 8:00:09,7;0,1125;A AC;Interval;19.01.22 8:00:10,5
16;0,1133;A AC;19.01.22 8:00:10,5;0:00:05,0;19.01.22 8:00:10,5;0,1133;A AC;0,112422;A AC;19.01.22 8:00:11,6;0,1119;A AC;Interval;19.01.22 8:00:15,5
17;0,1122;A AC;19.01.22 8:00:15,5;0:00:04,9;19.01.22 8:00:17,9;0,1287;A AC;0,1154;A AC;19.01.22 8:00:17,7;0,1119;A AC;Interval;19.01.22 8:00:20,4
18;0,1178;A AC;19.01.22 8:00:20,4;0:00:05,0;19.01.22 8:00:20,9;0,1186;A AC;0,116448;A AC;19.01.22 8:00:24,3;0,1122;A AC;Interval;19.01.22 8:00:25,5
19;0,1124;A AC;19.01.22 8:00:25,5;0:00:05,0;19.01.22 8:00:27,9;0,1192;A AC;0,112702;A AC;19.01.22 8:00:26,8;0,112;A AC;Interval;19.01.22 8:00:30,5
20;0,1128;A AC;19.01.22 8:00:30,5;0:00:04,9;19.01.22 8:00:30,5;0,1128;A AC;0,1122;A AC;19.01.22 8:00:31,3;0,1119;A AC;Interval;19.01.22 8:00:35,4
21;0,1123;A AC;19.01.22 8:00:35,4;0:00:05,0;19.01.22 8:00:35,4;0,1123;A AC;0,112074;A AC;19.01.22 8:00:40,2;0,1118;A AC;Interval;19.01.22 8:00:40,5
22;0,1118;A AC;19.01.22 8:00:40,5;0:00:05,0;19.01.22 8:00:43,8;0,1122;A AC;0,112018;A AC;19.01.22 8:00:40,5;0,1118;A AC;Interval;19.01.22 8:00:45,5
23;0,1121;A AC;19.01.22 8:00:45,5;0:00:05,0;19.01.22 8:00:50,2;0,1148;A AC;0,112366;A AC;19.01.22 8:00:45,5;0,1121;A AC;Interval;19.01.22 8:00:50,5
24;0,1128;A AC;19.01.22 8:00:50,5;0:00:04,9;19.01.22 8:00:51,9;0,113;A AC;0,112583673469388;A AC;19.01.22 8:00:53,2;0,1122;A AC;Interval;19.01.22 8:00:55,5
25;0,1126;A AC;19.01.22 8:00:55,5;0:00:05,0;19.01.22 8:00:59,1;0,1151;A AC;0,112852;A AC;19.01.22 8:00:58,6;0,1122;A AC;Interval;19.01.22 8:01:00,5
26;0,1127;A AC;19.01.22 8:01:00,5;0:00:05,0;19.01.22 8:01:03,0;0,1145;A AC;0,113042;A AC;19.01.22 8:01:01,0;0,1123;A AC;Interval;19.01.22 8:01:05,5
27;0,113;A AC;19.01.22 8:01:05,5;0:00:04,9;19.01.22 8:01:08,9;0,1184;A AC;0,113073469387755;A AC;19.01.22 8:01:09,9;0,1124;A AC;Interval;19.01.22 8:01:10,4
28;0,1128;A AC;19.01.22 8:01:10,4;0:00:05,0;19.01.22 8:01:12,9;0,1131;A AC;0,112726;A AC;19.01.22 8:01:10,9;0,1124;A AC;Interval;19.01.22 8:01:15,5
29;0,1126;A AC;19.01.22 8:01:15,5;0:00:05,0;19.01.22 8:01:16,6;0,1128;A AC;0,11261;A AC;19.01.22 8:01:20,4;0,1122;A AC;Interval;19.01.22 8:01:20,5
30;0,1122;A AC;19.01.22 8:01:20,5;0:00:05,0;19.01.22 8:01:21,3;0,1162;A AC;0,112392;A AC;19.01.22 8:01:24,4;0,1117;A AC;Interval;19.01.22 8:01:25,5
31;0,1123;A AC;19.01.22 8:01:25,5;0:00:04,9;19.01.22 8:01:28,3;0,1126;A AC;0,112465306122449;A AC;19.01.22 8:01:25,5;0,1123;A AC;Interval;19.01.22 8:01:30,5
32;0,1126;A AC;19.01.22 8:01:30,5;0:00:05,0;19.01.22 8:01:33,3;0,1161;A AC;0,11276;A AC;19.01.22 8:01:34,7;0,1123;A AC;Interval;19.01.22 8:01:35,5
33;0,1123;A AC;19.01.22 8:01:35,5;0:00:05,0;19.01.22 8:01:36,0;0,1179;A AC;0,112966;A AC;19.01.22 8:01:36,9;0,1121;A AC;Interval;19.01.22 8:01:40,5
