Configurations,Start Time,Stop Time
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:14 CET 2022, Tue Jan 18 08:50:20 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:20 CET 2022, Tue Jan 18 08:50:24 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:24 CET 2022, Tue Jan 18 08:50:29 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:29 CET 2022, Tue Jan 18 08:50:33 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:33 CET 2022, Tue Jan 18 08:50:37 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:37 CET 2022, Tue Jan 18 08:50:41 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:41 CET 2022, Tue Jan 18 08:50:46 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:46 CET 2022, Tue Jan 18 08:50:50 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:50 CET 2022, Tue Jan 18 08:50:54 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:54 CET 2022, Tue Jan 18 08:50:59 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:50:59 CET 2022, Tue Jan 18 08:51:03 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:03 CET 2022, Tue Jan 18 08:51:08 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:08 CET 2022, Tue Jan 18 08:51:12 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:12 CET 2022, Tue Jan 18 08:51:17 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:17 CET 2022, Tue Jan 18 08:51:22 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:22 CET 2022, Tue Jan 18 08:51:26 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:26 CET 2022, Tue Jan 18 08:51:31 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:31 CET 2022, Tue Jan 18 08:51:35 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:35 CET 2022, Tue Jan 18 08:51:40 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:40 CET 2022, Tue Jan 18 08:51:45 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:45 CET 2022, Tue Jan 18 08:51:49 CET 2022
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:49 CET 2022, Tue Jan 18 08:51:54 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:54 CET 2022, Tue Jan 18 08:51:59 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:51:59 CET 2022, Tue Jan 18 08:52:04 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:04 CET 2022, Tue Jan 18 08:52:09 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:09 CET 2022, Tue Jan 18 08:52:13 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:13 CET 2022, Tue Jan 18 08:52:18 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:18 CET 2022, Tue Jan 18 08:52:23 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:23 CET 2022, Tue Jan 18 08:52:28 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:28 CET 2022, Tue Jan 18 08:52:33 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:33 CET 2022, Tue Jan 18 08:52:38 CET 2022
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:38 CET 2022, Tue Jan 18 08:52:43 CET 2022
-v original -w 64 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:43 CET 2022, Tue Jan 18 08:52:48 CET 2022
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:48 CET 2022, Tue Jan 18 08:52:53 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:53 CET 2022, Tue Jan 18 08:52:58 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:52:58 CET 2022, Tue Jan 18 08:53:02 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:02 CET 2022, Tue Jan 18 08:53:06 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:06 CET 2022, Tue Jan 18 08:53:11 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:11 CET 2022, Tue Jan 18 08:53:15 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:15 CET 2022, Tue Jan 18 08:53:19 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:19 CET 2022, Tue Jan 18 08:53:24 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:24 CET 2022, Tue Jan 18 08:53:28 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:28 CET 2022, Tue Jan 18 08:53:32 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:32 CET 2022, Tue Jan 18 08:53:37 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:37 CET 2022, Tue Jan 18 08:53:41 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:41 CET 2022, Tue Jan 18 08:53:46 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:46 CET 2022, Tue Jan 18 08:53:51 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:51 CET 2022, Tue Jan 18 08:53:55 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:53:55 CET 2022, Tue Jan 18 08:54:00 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:00 CET 2022, Tue Jan 18 08:54:05 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:05 CET 2022, Tue Jan 18 08:54:09 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:09 CET 2022, Tue Jan 18 08:54:14 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:14 CET 2022, Tue Jan 18 08:54:19 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:19 CET 2022, Tue Jan 18 08:54:24 CET 2022
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:24 CET 2022, Tue Jan 18 08:54:28 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:28 CET 2022, Tue Jan 18 08:54:33 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:33 CET 2022, Tue Jan 18 08:54:38 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:38 CET 2022, Tue Jan 18 08:54:43 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:43 CET 2022, Tue Jan 18 08:54:47 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:47 CET 2022, Tue Jan 18 08:54:52 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:52 CET 2022, Tue Jan 18 08:54:57 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:54:57 CET 2022, Tue Jan 18 08:55:02 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:02 CET 2022, Tue Jan 18 08:55:06 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:06 CET 2022, Tue Jan 18 08:55:11 CET 2022
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:11 CET 2022, Tue Jan 18 08:55:16 CET 2022
-v original -w 64 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:16 CET 2022, Tue Jan 18 08:55:21 CET 2022
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:21 CET 2022, Tue Jan 18 08:55:26 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:26 CET 2022, Tue Jan 18 08:55:31 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:31 CET 2022, Tue Jan 18 08:55:35 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:35 CET 2022, Tue Jan 18 08:55:39 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:39 CET 2022, Tue Jan 18 08:55:44 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:44 CET 2022, Tue Jan 18 08:55:48 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:48 CET 2022, Tue Jan 18 08:55:52 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:52 CET 2022, Tue Jan 18 08:55:57 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:55:57 CET 2022, Tue Jan 18 08:56:01 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:01 CET 2022, Tue Jan 18 08:56:06 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:06 CET 2022, Tue Jan 18 08:56:10 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:10 CET 2022, Tue Jan 18 08:56:15 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:15 CET 2022, Tue Jan 18 08:56:19 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:19 CET 2022, Tue Jan 18 08:56:24 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:24 CET 2022, Tue Jan 18 08:56:29 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:29 CET 2022, Tue Jan 18 08:56:33 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:33 CET 2022, Tue Jan 18 08:56:38 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:38 CET 2022, Tue Jan 18 08:56:43 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:43 CET 2022, Tue Jan 18 08:56:47 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:47 CET 2022, Tue Jan 18 08:56:52 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:52 CET 2022, Tue Jan 18 08:56:57 CET 2022
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:56:57 CET 2022, Tue Jan 18 08:57:01 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:01 CET 2022, Tue Jan 18 08:57:06 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:06 CET 2022, Tue Jan 18 08:57:11 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:11 CET 2022, Tue Jan 18 08:57:16 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:16 CET 2022, Tue Jan 18 08:57:21 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:21 CET 2022, Tue Jan 18 08:57:25 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:25 CET 2022, Tue Jan 18 08:57:30 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:30 CET 2022, Tue Jan 18 08:57:35 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:35 CET 2022, Tue Jan 18 08:57:40 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:40 CET 2022, Tue Jan 18 08:57:45 CET 2022
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:57:45 CET 2022, Tue Jan 18 08:57:50 CET 2022
