version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Meter
original,1,0,1000,50,10,5,243.67793200000006
original,2,0,1000,50,10,5,158.69628800000004
original,4,0,1000,50,10,5,11.302579999999999
original,6,0,1000,50,10,5,98.02764399999998
original,8,0,1000,50,10,5,62.96948399999997
original,10,0,1000,50,10,5,124.47069999999991
original,12,0,1000,50,10,5,170.39499200000014
original,14,0,1000,50,10,5,143.712364
original,16,0,1000,50,10,5,227.96580399999982
original,18,0,1000,50,10,5,214.79646000000017
original,20,0,1000,50,10,5,247.532432
original,22,0,1000,50,10,5,160.99001199999995
original,24,0,1000,50,10,5,144.46191600000017
original,26,0,1000,50,10,5,81.22676800000002
original,28,0,1000,50,10,5,213.30921599999994
original,30,0,1000,50,10,5,180.85314000000014
original,32,0,1000,50,10,5,183.72800399999994
original,34,0,1000,50,10,5,162.95402799999994
original,36,0,1000,50,10,5,284.0849519999999
original,38,0,1000,50,10,5,309.23526800000013
original,40,0,1000,50,10,5,246.9797560000001
original,42,0,1000,50,10,5,263.7379360000002
original,44,0,1000,50,10,5,233.383452
original,46,0,1000,50,10,5,232.38009599999998
original,48,0,1000,50,10,5,201.14322800000014
original,50,0,1000,50,10,5,196.0363119999999
original,52,0,1000,50,10,5,191.4868159999999
original,54,0,1000,50,10,5,276.1624719999999
original,56,0,1000,50,10,5,191.52239599999982
original,58,0,1000,50,10,5,347.844312
original,60,0,1000,50,10,5,284.92701199999993
original,62,0,1000,50,10,5,234.99403999999998
original,64,0,1000,50,10,5,216.31216800000016
original,1,0,1000,50,10,5,102.09087999999983
original,2,0,1000,50,10,5,177.87153599999994
original,4,0,1000,50,10,5,72.398184
original,6,0,1000,50,10,5,213.82868400000012
original,8,0,1000,50,10,5,259.7838119999999
original,10,0,1000,50,10,5,185.84857200000008
original,12,0,1000,50,10,5,223.11980799999986
original,14,0,1000,50,10,5,290.45851600000015
original,16,0,1000,50,10,5,158.07245199999988
original,18,0,1000,50,10,5,250.4333879999998
original,20,0,1000,50,10,5,91.362324
original,22,0,1000,50,10,5,137.22020000000012
original,24,0,1000,50,10,5,168.727476
original,26,0,1000,50,10,5,194.78152399999993
original,28,0,1000,50,10,5,137.51432799999986
original,30,0,1000,50,10,5,288.3260880000001
original,32,0,1000,50,10,5,268.880432
original,34,0,1000,50,10,5,238.9956039999998
original,36,0,1000,50,10,5,269.428364
original,38,0,1000,50,10,5,242.152736
original,40,0,1000,50,10,5,211.67728
original,42,0,1000,50,10,5,201.29977999999986
original,44,0,1000,50,10,5,174.3704640000002
original,46,0,1000,50,10,5,174.11191599999998
original,48,0,1000,50,10,5,165.48732399999994
original,50,0,1000,50,10,5,91.12986799999999
original,52,0,1000,50,10,5,109.96829200000009
original,54,0,1000,50,10,5,223.53016399999998
original,56,0,1000,50,10,5,228.01798799999983
original,58,0,1000,50,10,5,186.38701600000002
original,60,0,1000,50,10,5,165.7909400000002
original,62,0,1000,50,10,5,184.216636
original,64,0,1000,50,10,5,189.87385599999982
original,1,0,1000,50,10,5,151.4688039999998
original,2,0,1000,50,10,5,132.90553200000014
original,4,0,1000,50,10,5,145.05491599999988
original,6,0,1000,50,10,5,183.98892400000005
original,8,0,1000,50,10,5,230.93317600000003
original,10,0,1000,50,10,5,153.79336400000003
original,12,0,1000,50,10,5,45.409568
original,14,0,1000,50,10,5,101.17054400000012
original,16,0,1000,50,10,5,151.90287999999998
original,18,0,1000,50,10,5,173.37422400000008
original,20,0,1000,50,10,5,129.3072079999999
original,22,0,1000,50,10,5,310.8292520000001
original,24,0,1000,50,10,5,227.17592799999971
original,26,0,1000,50,10,5,219.15145200000018
original,28,0,1000,50,10,5,194.99737600000003
original,30,0,1000,50,10,5,180.14391200000009
original,32,0,1000,50,10,5,175.3358679999998
original,34,0,1000,50,10,5,166.09218399999986
original,36,0,1000,50,10,5,174.78556400000008
original,38,0,1000,50,10,5,100.94520399999995
original,40,0,1000,50,10,5,328.2871720000001
original,42,0,1000,50,10,5,178.85828800000002
original,44,0,1000,50,10,5,184.27119199999999
original,46,0,1000,50,10,5,145.82818799999995
original,48,0,1000,50,10,5,195.18476400000003
original,50,0,1000,50,10,5,214.42879999999997
original,52,0,1000,50,10,5,175.29554399999992
original,54,0,1000,50,10,5,331.86177599999985
original,56,0,1000,50,10,5,351.92889599999995
original,58,0,1000,50,10,5,348.45391600000005
original,60,0,1000,50,10,5,331.2047319999999
original,62,0,1000,50,10,5,261.9731680000003
original,64,0,1000,50,10,5,252.96905599999997
original,1,0,1000,50,10,5,237.81671999999998
original,2,0,1000,50,10,5,206.6865919999998
original,4,0,1000,50,10,5,180.64677600000007
original,6,0,1000,50,10,5,5.327512
original,8,0,1000,50,10,5,36.65926
original,10,0,1000,50,10,5,101.96041999999993
original,12,0,1000,50,10,5,156.92677599999988
original,14,0,1000,50,10,5,147.578724
