version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Meter
original,1,0,1000,50,10,5,265.22755200000006
original,2,0,1000,50,10,5,271.27615200000014
original,4,0,1000,50,10,5,311.28704799999997
original,6,0,1000,50,10,5,277.841848
original,8,0,1000,50,10,5,276.2549799999996
original,10,0,1000,50,10,5,274.8649879999998
original,12,0,1000,50,10,5,287.6358360000003
original,14,0,1000,50,10,5,200.8633320000001
original,16,0,1000,50,10,5,326.06697999999994
original,18,0,1000,50,10,5,272.9104600000002
original,20,0,1000,50,10,5,392.5399080000003
original,22,0,1000,50,10,5,321.9610479999998
original,24,0,1000,50,10,5,297.728696
original,26,0,1000,50,10,5,308.87946799999986
original,28,0,1000,50,10,5,296.3173559999999
original,30,0,1000,50,10,5,329.2881559999999
original,32,0,1000,50,10,5,317.15063199999975
original,34,0,1000,50,10,5,197.64215599999997
original,36,0,1000,50,10,5,342.39108399999975
original,38,0,1000,50,10,5,337.4075120000001
original,40,0,1000,50,10,5,314.7691440000002
original,42,0,1000,50,10,5,365.29274400000014
original,44,0,1000,50,10,5,328.83036
original,46,0,1000,50,10,5,356.96227999999974
original,48,0,1000,50,10,5,332.3978480000001
original,50,0,1000,50,10,5,350.58397200000013
original,52,0,1000,50,10,5,250.64212399999994
original,54,0,1000,50,10,5,430.09341199999983
original,56,0,1000,50,10,5,243.7467199999998
original,58,0,1000,50,10,5,347.844312
original,60,0,1000,50,10,5,447.16469599999994
original,62,0,1000,50,10,5,313.37440799999985
original,64,0,1000,50,10,5,402.9624759999999
original,1,0,1000,50,10,5,234.16383999999982
original,2,0,1000,50,10,5,256.0526559999998
original,4,0,1000,50,10,5,184.2949120000001
original,6,0,1000,50,10,5,269.2552080000002
original,8,0,1000,50,10,5,384.55338400000016
original,10,0,1000,50,10,5,185.84857200000008
original,12,0,1000,50,10,5,288.62258799999984
original,14,0,1000,50,10,5,373.89124400000003
original,16,0,1000,50,10,5,217.28231599999995
original,18,0,1000,50,10,5,406.155188
original,20,0,1000,50,10,5,308.96011599999986
original,22,0,1000,50,10,5,309.35624000000007
original,24,0,1000,50,10,5,310.03700399999985
original,26,0,1000,50,10,5,345.7616959999999
original,28,0,1000,50,10,5,177.60349999999985
original,30,0,1000,50,10,5,340.6808720000001
original,32,0,1000,50,10,5,349.4288080000001
original,34,0,1000,50,10,5,297.9943599999998
original,36,0,1000,50,10,5,365.899976
original,38,0,1000,50,10,5,366.21782400000006
original,40,0,1000,50,10,5,341.1766200000002
original,42,0,1000,50,10,5,357.4177039999996
original,44,0,1000,50,10,5,328.246848
original,46,0,1000,50,10,5,329.55144800000016
original,48,0,1000,50,10,5,322.14131999999984
original,50,0,1000,50,10,5,336.01989200000037
original,52,0,1000,50,10,5,235.4636960000002
original,54,0,1000,50,10,5,434.8516440000001
original,56,0,1000,50,10,5,317.24788399999983
original,58,0,1000,50,10,5,368.33364799999976
original,60,0,1000,50,10,5,336.69828399999994
original,62,0,1000,50,10,5,339.4758959999999
original,64,0,1000,50,10,5,299.6832239999998
original,1,0,1000,50,10,5,293.729504
original,2,0,1000,50,10,5,270.2514480000001
original,4,0,1000,50,10,5,168.60887599999987
original,6,0,1000,50,10,5,272.39336400000013
original,8,0,1000,50,10,5,360.52739599999984
original,10,0,1000,50,10,5,309.2613600000001
original,12,0,1000,50,10,5,298.56126799999987
original,14,0,1000,50,10,5,301.6970520000002
original,16,0,1000,50,10,5,301.11591199999987
original,18,0,1000,50,10,5,317.7127959999999
original,20,0,1000,50,10,5,188.74952799999994
original,22,0,1000,50,10,5,344.3527280000001
original,24,0,1000,50,10,5,329.33559599999967
original,26,0,1000,50,10,5,345.42961599999995
original,28,0,1000,50,10,5,343.60791999999975
original,30,0,1000,50,10,5,344.9314959999999
original,32,0,1000,50,10,5,331.3162159999995
original,34,0,1000,50,10,5,322.26703600000013
original,36,0,1000,50,10,5,331.0885040000003
original,38,0,1000,50,10,5,224.76597600000014
original,40,0,1000,50,10,5,401.5677400000002
original,42,0,1000,50,10,5,352.32264800000024
original,44,0,1000,50,10,5,387.5729399999997
original,46,0,1000,50,10,5,294.0402359999998
original,48,0,1000,50,10,5,330.00924399999985
original,50,0,1000,50,10,5,340.29897999999974
original,52,0,1000,50,10,5,215.81641999999994
original,54,0,1000,50,10,5,331.86177599999985
original,56,0,1000,50,10,5,351.92889599999995
original,58,0,1000,50,10,5,348.45391600000005
original,60,0,1000,50,10,5,365.07214799999997
original,62,0,1000,50,10,5,343.73838000000046
original,64,0,1000,50,10,5,356.25779600000004
original,1,0,1000,50,10,5,237.81671999999998
original,2,0,1000,50,10,5,290.9210559999998
original,4,0,1000,50,10,5,317.16960800000004
original,6,0,1000,50,10,5,298.86962799999975
original,8,0,1000,50,10,5,282.12805199999957
original,10,0,1000,50,10,5,283.3804679999997
original,12,0,1000,50,10,5,290.31145200000003
original,14,0,1000,50,10,5,187.04643199999998
original,16,0,1000,50,10,5,346.95006800000004
original,18,0,1000,50,10,5,327.86732800000016
original,20,0,1000,50,10,5,335.7233920000001
original,22,0,1000,50,10,5,344.7180159999998
original,24,0,1000,50,10,5,311.05459200000007
original,26,0,1000,50,10,5,322.19587599999977
original,28,0,1000,50,10,5,331.76689600000043
original,30,0,1000,50,10,5,313.97689600000035
original,32,0,1000,50,10,5,331.4324439999999
original,34,0,1000,50,10,5,377.54412399999967
original,36,0,1000,50,10,5,181.42242
original,38,0,1000,50,10,5,408.67662400000006
original,40,0,1000,50,10,5,230.24766799999995
original,42,0,1000,50,10,5,347.79449999999997
original,44,0,1000,50,10,5,350.72392
original,46,0,1000,50,10,5,357.1259479999999
original,48,0,1000,50,10,5,346.515992
original,50,0,1000,50,10,5,333.70482000000004
original,52,0,1000,50,10,5,357.2255719999997
original,54,0,1000,50,10,5,351.0583720000001
original,56,0,1000,50,10,5,339.596868
original,58,0,1000,50,10,5,346.33572000000004
original,60,0,1000,50,10,5,370.4542159999995
original,62,0,1000,50,10,5,341.2382919999998
original,64,0,1000,50,10,5,318.91065599999973
original,1,0,1000,50,10,5,293.2740799999998
original,2,0,1000,50,10,5,271.2761520000001
original,4,0,1000,50,10,5,267.3931879999999
original,6,0,1000,50,10,5,278.2189960000002
original,8,0,1000,50,10,5,276.07470800000004
original,10,0,1000,50,10,5,199.1531200000001
original,12,0,1000,50,10,5,287.8706640000002
original,14,0,1000,50,10,5,353.52762399999995
original,16,0,1000,50,10,5,363.0061360000002
original,18,0,1000,50,10,5,309.811664
original,20,0,1000,50,10,5,304.93483200000003
original,22,0,1000,50,10,5,322.71771599999965
original,24,0,1000,50,10,5,312.15994399999977
original,26,0,1000,50,10,5,313.4147319999996
original,28,0,1000,50,10,5,314.73356400000023
original,30,0,1000,50,10,5,209.79865599999988
original,32,0,1000,50,10,5,338.7382039999999
original,34,0,1000,50,10,5,360.0885759999996
original,36,0,1000,50,10,5,336.92125200000015
original,38,0,1000,50,10,5,339.404736
original,40,0,1000,50,10,5,365.05317199999996
original,42,0,1000,50,10,5,287.84457200000014
original,44,0,1000,50,10,5,408.5461640000002
original,46,0,1000,50,10,5,332.88885200000004
original,48,0,1000,50,10,5,341.9641240000002
original,50,0,1000,50,10,5,351.30743200000023
original,52,0,1000,50,10,5,343.09319599999975
original,54,0,1000,50,10,5,387.3262520000002
original,56,0,1000,50,10,5,286.35021199999983
original,58,0,1000,50,10,5,239.25889599999988
original,60,0,1000,50,10,5,447.9877799999996
original,62,0,1000,50,10,5,360.0150440000001
original,64,0,1000,50,10,5,298.7415400000001
original,1,0,1000,50,10,5,299.5930879999996
original,2,0,1000,50,10,5,271.8738959999999
original,4,0,1000,50,10,5,266.4420160000001
original,6,0,1000,50,10,5,173.5118
original,8,0,1000,50,10,5,326.35399199999995
original,10,0,1000,50,10,5,314.51059599999985
original,12,0,1000,50,10,5,318.0140400000001
original,14,0,1000,50,10,5,304.8019999999998
original,16,0,1000,50,10,5,308.90555999999975
original,18,0,1000,50,10,5,311.6404759999998
original,20,0,1000,50,10,5,304.4343399999999
original,22,0,1000,50,10,5,200.09006
original,24,0,1000,50,10,5,343.15961199999975
original,26,0,1000,50,10,5,350.05501600000014
original,28,0,1000,50,10,5,340.8231920000002
original,30,0,1000,50,10,5,353.38530399999985
original,32,0,1000,50,10,5,341.6106960000002
original,34,0,1000,50,10,5,244.97778800000003
original,36,0,1000,50,10,5,446.37007599999976
original,38,0,1000,50,10,5,333.4771079999997
original,40,0,1000,50,10,5,341.89533600000016
original,42,0,1000,50,10,5,331.15492
original,44,0,1000,50,10,5,334.24800799999974
original,46,0,1000,50,10,5,333.52929200000005
original,48,0,1000,50,10,5,335.4767039999997
original,50,0,1000,50,10,5,362.40127600000005
original,52,0,1000,50,10,5,325.0422760000002
original,54,0,1000,50,10,5,343.233144
original,56,0,1000,50,10,5,352.34636799999987
original,58,0,1000,50,10,5,343.16909999999984
original,60,0,1000,50,10,5,342.24164800000005
original,62,0,1000,50,10,5,217.71164799999997
original,64,0,1000,50,10,5,359.14452000000017
original,1,0,1000,50,10,5,380.75818400000026
original,2,0,1000,50,10,5,452.3641200000004
original,4,0,1000,50,10,5,22.714272
original,6,0,1000,50,10,5,292.3513720000001
original,8,0,1000,50,10,5,343.6102919999996
original,10,0,1000,50,10,5,302.8379839999999
original,12,0,1000,50,10,5,291.7868360000001
original,14,0,1000,50,10,5,301.6496119999997
original,16,0,1000,50,10,5,312.65332
original,18,0,1000,50,10,5,303.81050400000004
original,20,0,1000,50,10,5,217.34398800000002
original,22,0,1000,50,10,5,343.27584
original,24,0,1000,50,10,5,337.80126399999966
original,26,0,1000,50,10,5,340.8113319999998
original,28,0,1000,50,10,5,345.9680599999996
original,30,0,1000,50,10,5,331.87600800000035
original,32,0,1000,50,10,5,324.86911999999984
original,34,0,1000,50,10,5,228.09863600000014
original,36,0,1000,50,10,5,437.75260000000003
original,38,0,1000,50,10,5,332.0752560000002
original,40,0,1000,50,10,5,342.68046800000036
original,42,0,1000,50,10,5,323.8539039999997
original,44,0,1000,50,10,5,333.41780800000004
original,46,0,1000,50,10,5,256.268508
original,48,0,1000,50,10,5,427.4059360000001
original,50,0,1000,50,10,5,216.5612280000002
original,52,0,1000,50,10,5,340.590736
original,54,0,1000,50,10,5,362.9207439999997
original,56,0,1000,50,10,5,350.1261760000001
original,58,0,1000,50,10,5,349.796468
original,60,0,1000,50,10,5,362.44159999999994
original,62,0,1000,50,10,5,336.71963200000016
original,64,0,1000,50,10,5,313.1893919999998
original,1,0,1000,50,10,5,306.1919920000002
original,2,0,1000,50,10,5,274.7131800000002
original,4,0,1000,50,10,5,304.04770399999984
original,6,0,1000,50,10,5,301.5191520000005
original,8,0,1000,50,10,5,284.1561119999998
original,10,0,1000,50,10,5,266.475224
original,12,0,1000,50,10,5,489.7634439999998
original,14,0,1000,50,10,5,23.601399999999998
original,16,0,1000,50,10,5,340.6334320000003
original,18,0,1000,50,10,5,307.2451600000001
original,20,0,1000,50,10,5,359.0875920000002
original,22,0,1000,50,10,5,327.86969999999985
original,24,0,1000,50,10,5,368.2150479999995
original,26,0,1000,50,10,5,322.3026159999995
original,28,0,1000,50,10,5,266.3447640000003
original,30,0,1000,50,10,5,324.06738399999995
original,32,0,1000,50,10,5,331.1525479999998
original,34,0,1000,50,10,5,340.3369319999998
original,36,0,1000,50,10,5,342.2463919999999
original,38,0,1000,50,10,5,349.48099199999996
original,40,0,1000,50,10,5,312.2263599999999
original,42,0,1000,50,10,5,220.69087999999994
original,44,0,1000,50,10,5,350.3847239999997
original,46,0,1000,50,10,5,352.31078799999983
original,48,0,1000,50,10,5,344.42388799999986
original,50,0,1000,50,10,5,292.8637239999999
original,52,0,1000,50,10,5,340.6879880000003
original,54,0,1000,50,10,5,413.72898399999974
original,56,0,1000,50,10,5,358.9002040000001
original,58,0,1000,50,10,5,351.04888400000004
original,60,0,1000,50,10,5,312.32598400000006
original,62,0,1000,50,10,5,396.31613200000004
original,64,0,1000,50,10,5,340.2942360000001
original,1,0,1000,50,10,5,192.2814360000003
original,2,0,1000,50,10,5,336.86195199999963
original,4,0,1000,50,10,5,292.40592799999973
original,6,0,1000,50,10,5,269.99289999999996
original,8,0,1000,50,10,5,283.72440799999976
original,10,0,1000,50,10,5,264.74129200000004
original,12,0,1000,50,10,5,212.111356
original,14,0,1000,50,10,5,299.8374039999999
original,16,0,1000,50,10,5,369.405792
original,18,0,1000,50,10,5,236.7374600000001
original,20,0,1000,50,10,5,404.87905199999966
original,22,0,1000,50,10,5,313.88201600000025
original,24,0,1000,50,10,5,301.329392
original,26,0,1000,50,10,5,333.5862200000001
original,28,0,1000,50,10,5,320.5710559999999
original,30,0,1000,50,10,5,322.506608
original,32,0,1000,50,10,5,217.1233919999998
original,34,0,1000,50,10,5,349.208212
original,36,0,1000,50,10,5,357.56002399999966
original,38,0,1000,50,10,5,352.2277679999998
original,40,0,1000,50,10,5,337.50950800000004
original,42,0,1000,50,10,5,337.00190000000003
original,44,0,1000,50,10,5,307.94727199999977
original,46,0,1000,50,10,5,402.24138799999974
original,48,0,1000,50,10,5,340.01908400000025
original,50,0,1000,50,10,5,253.7043759999999
original,52,0,1000,50,10,5,444.52228799999943
original,54,0,1000,50,10,5,332.31957199999965
original,56,0,1000,50,10,5,350.9279119999998
original,58,0,1000,50,10,5,332.0776280000004
original,60,0,1000,50,10,5,342.77297599999963
original,62,0,1000,50,10,5,339.5019880000001
original,64,0,1000,50,10,5,308.47148400000015
original,1,0,1000,50,10,5,293.3476120000001
original,2,0,1000,50,10,5,274.5186760000002
original,4,0,1000,50,10,5,259.7079080000004
original,6,0,1000,50,10,5,279.30537200000003
original,8,0,1000,50,10,5,211.72234799999998
original,10,0,1000,50,10,5,301.23214000000024
original,12,0,1000,50,10,5,345.01688800000034
original,14,0,1000,50,10,5,274.02292799999975
original,16,0,1000,50,10,5,331.2165920000001
original,18,0,1000,50,10,5,302.4062800000001
original,20,0,1000,50,10,5,312.20263999999975
original,22,0,1000,50,10,5,295.0198720000001
original,24,0,1000,50,10,5,238.77737999999977
original,26,0,1000,50,10,5,338.2827800000001
original,28,0,1000,50,10,5,309.3562400000005
original,30,0,1000,50,10,5,363.01562399999983
original,32,0,1000,50,10,5,358.68672400000025
original,34,0,1000,50,10,5,319.76220399999977
original,36,0,1000,50,10,5,367.92329200000006
original,38,0,1000,50,10,5,327.53999199999964
original,40,0,1000,50,10,5,340.7069640000002
original,42,0,1000,50,10,5,340.22781999999984
original,44,0,1000,50,10,5,227.93971199999993
original,46,0,1000,50,10,5,497.46532800000034
original,48,0,1000,50,10,5,180.54240799999997
original,50,0,1000,50,10,5,509.8471679999999
original,52,0,1000,50,10,5,265.1350440000001
original,54,0,1000,50,10,5,353.3426079999998
original,56,0,1000,50,10,5,235.40913999999992
original,58,0,1000,50,10,5,447.00814400000047
original,60,0,1000,50,10,5,341.14104
original,62,0,1000,50,10,5,342.20606799999973
original,64,0,1000,50,10,5,349.9577640000001
original,1,0,1000,50,10,5,162.80459200000018
original,2,0,1000,50,10,5,368.0988199999997
original,4,0,1000,50,10,5,174.72151999999983
original,6,0,1000,50,10,5,313.72546400000004
original,8,0,1000,50,10,5,329.67004799999967
original,10,0,1000,50,10,5,284.5047959999999
original,12,0,1000,50,10,5,302.4869279999999
original,14,0,1000,50,10,5,301.7089119999998
original,16,0,1000,50,10,5,306.39124000000015
original,18,0,1000,50,10,5,181.1401519999999
original,20,0,1000,50,10,5,329.454196
original,22,0,1000,50,10,5,345.98940800000025
original,24,0,1000,50,10,5,330.91297600000007
original,26,0,1000,50,10,5,349.0208240000002
original,28,0,1000,50,10,5,249.70992800000008
original,30,0,1000,50,10,5,429.09954400000004
original,32,0,1000,50,10,5,333.05726400000015
original,34,0,1000,50,10,5,226.59478799999988
original,36,0,1000,50,10,5,428.5350080000002
original,38,0,1000,50,10,5,400.3983439999994
original,40,0,1000,50,10,5,258.4175399999999
original,42,0,1000,50,10,5,358.8954600000003
original,44,0,1000,50,10,5,312.0389720000002
original,46,0,1000,50,10,5,341.03667199999995
original,48,0,1000,50,10,5,324.5773639999997
original,50,0,1000,50,10,5,320.9221120000001
original,52,0,1000,50,10,5,252.098532
original,54,0,1000,50,10,5,350.04790000000037
original,56,0,1000,50,10,5,356.260168
original,58,0,1000,50,10,5,352.52664000000004
original,60,0,1000,50,10,5,350.9374
original,62,0,1000,50,10,5,335.28457199999997
original,64,0,1000,50,10,5,344.84373200000016
original,1,0,1000,50,10,5,270.564552
original,2,0,1000,50,10,5,230.08162799999997
original,4,0,1000,50,10,5,353.6438519999998
original,6,0,1000,50,10,5,264.80533600000024
original,8,0,1000,50,10,5,302.6553399999998
original,10,0,1000,50,10,5,186.85667200000017
original,12,0,1000,50,10,5,392.667996
original,14,0,1000,50,10,5,200.4529760000001
original,16,0,1000,50,10,5,338.6622999999999
original,18,0,1000,50,10,5,265.39122
original,20,0,1000,50,10,5,400.320068
original,22,0,1000,50,10,5,240.5848439999999
original,24,0,1000,50,10,5,409.7392799999999
original,26,0,1000,50,10,5,320.65407599999963
original,28,0,1000,50,10,5,313.7610440000001
original,30,0,1000,50,10,5,322.62758000000025
original,32,0,1000,50,10,5,329.15057999999965
original,34,0,1000,50,10,5,340.30846799999995
original,36,0,1000,50,10,5,295.6769160000002
original,38,0,1000,50,10,5,238.298236
original,40,0,1000,50,10,5,330.3697879999999
original,42,0,1000,50,10,5,352.8539759999998
original,44,0,1000,50,10,5,348.3922440000001
original,46,0,1000,50,10,5,332.04679199999975
original,48,0,1000,50,10,5,287.84220000000005
original,50,0,1000,50,10,5,406.8739039999998
original,52,0,1000,50,10,5,270.30126000000007
original,54,0,1000,50,10,5,434.8990839999997
original,56,0,1000,50,10,5,245.36916800000023
original,58,0,1000,50,10,5,425.97562000000016
original,60,0,1000,50,10,5,365.7339360000003
original,62,0,1000,50,10,5,291.6326560000001
original,64,0,1000,50,10,5,256.9990839999999
original,1,0,1000,50,10,5,370.51588799999996
original,2,0,1000,50,10,5,168.12736
original,4,0,1000,50,10,5,360.9519839999998
original,6,0,1000,50,10,5,278.5771679999997
original,8,0,1000,50,10,5,187.62757200000016
original,10,0,1000,50,10,5,269.7960239999998
original,12,0,1000,50,10,5,381.72358799999984
original,14,0,1000,50,10,5,308.42167199999994
original,16,0,1000,50,10,5,302.2758200000003
original,18,0,1000,50,10,5,274.8839640000002
original,20,0,1000,50,10,5,340.5954800000002
original,22,0,1000,50,10,5,312.764804
original,24,0,1000,50,10,5,197.29347200000018
original,26,0,1000,50,10,5,339.549428
original,28,0,1000,50,10,5,352.24199999999985
original,30,0,1000,50,10,5,325.405192
original,32,0,1000,50,10,5,370.02251199999995
original,34,0,1000,50,10,5,338.9255919999997
original,36,0,1000,50,10,5,356.720336
original,38,0,1000,50,10,5,330.4931319999998
original,40,0,1000,50,10,5,330.79912000000036
original,42,0,1000,50,10,5,346.9287199999999
original,44,0,1000,50,10,5,208.35410799999994
original,46,0,1000,50,10,5,445.3714640000002
original,48,0,1000,50,10,5,350.0692480000003
original,50,0,1000,50,10,5,312.15520000000015
original,52,0,1000,50,10,5,235.53011200000003
original,54,0,1000,50,10,5,444.24001999999973
original,56,0,1000,50,10,5,332.623188
